Timestamp (ms),Accel X,Accel Y,Accel Z
9629,-0.11,-0.18,-1.03
9650,-0.11,-0.18,-1.03
9671,-0.11,-0.18,-1.03
9692,-0.11,-0.18,-1.02
9713,-0.11,-0.18,-1.03
9734,-0.11,-0.18,-1.03
9755,-0.11,-0.18,-1.03
9776,-0.1,-0.18,-1.03
9797,-0.09,-0.18,-1.03
9818,-0.09,-0.18,-1.03
9839,-0.09,-0.18,-1.03
9860,-0.11,-0.18,-1.03
9881,-0.13,-0.18,-1.03
9902,-0.12,-0.19,-1.03
9923,-0.12,-0.18,-1.03
9944,-0.11,-0.19,-1.03
9965,-0.1,-0.19,-1.03
9986,-0.09,-0.19,-1.03
10007,-0.09,-0.18,-1.03
10028,-0.09,-0.17,-1.03
10049,-0.11,-0.18,-1.02
10070,-0.12,-0.18,-1.03
10091,-0.12,-0.18,-1.04
10112,-0.11,-0.19,-1.03
10133,-0.09,-0.18,-1.03
10154,-0.09,-0.18,-1.03
10175,-0.09,-0.18,-1.03
10196,-0.1,-0.18,-1.02
10217,-0.11,-0.17,-1.03
10238,-0.11,-0.18,-1.03
10259,-0.11,-0.18,-1.03
10280,-0.11,-0.18,-1.02
10301,-0.11,-0.18,-1.03
10322,-0.11,-0.18,-1.03
10343,-0.1,-0.18,-1.03
10364,-0.11,-0.19,-1.03
10385,-0.1,-0.19,-1.03
10406,-0.09,-0.18,-1.03
10427,-0.09,-0.18,-1.03
10448,-0.09,-0.18,-1.03
10469,-0.11,-0.18,-1.03
10490,-0.12,-0.18,-1.03
10511,-0.12,-0.19,-1.03
10532,-0.1,-0.19,-1.03
10553,-0.1,-0.19,-1.04
10574,-0.09,-0.18,-1.03
10595,-0.09,-0.18,-1.03
10616,-0.1,-0.17,-1.03
10637,-0.11,-0.18,-1.03
10658,-0.11,-0.18,-1.03
10679,-0.11,-0.18,-1.04
10700,-0.11,-0.19,-1.03
10721,-0.1,-0.18,-1.03
10742,-0.1,-0.18,-1.03
10763,-0.11,-0.18,-1.02
10784,-0.11,-0.18,-1.03
10805,-0.1,-0.18,-1.04
10826,-0.1,-0.18,-1.03
10847,-0.11,-0.19,-1.03
10868,-0.1,-0.18,-1.03
10889,-0.1,-0.18,-1.03
10910,-0.1,-0.18,-1.03
10931,-0.09,-0.18,-1.03
10952,-0.1,-0.18,-1.03
10973,-0.1,-0.18,-1.03
10994,-0.11,-0.18,-1.03
11015,-0.12,-0.19,-1.03
11036,-0.11,-0.19,-1.03
11057,-0.11,-0.18,-1.04
11078,-0.1,-0.19,-1.03
11099,-0.09,-0.19,-1.03
11120,-0.09,-0.18,-1.03
11141,-0.1,-0.18,-1.03
11162,-0.11,-0.19,-1.03
11183,-0.11,-0.19,-1.03
11204,-0.11,-0.19,-1.03
11225,-0.1,-0.19,-1.03
11246,-0.1,-0.18,-1.03
11267,-0.1,-0.18,-1.03
11288,-0.1,-0.18,-1.03
11309,-0.1,-0.19,-1.03
11330,-0.11,-0.18,-1.03
11351,-0.11,-0.18,-1.04
11372,-0.11,-0.18,-1.03
11393,-0.11,-0.18,-1.03
11414,-0.1,-0.19,-1.03
11435,-0.1,-0.18,-1.03
11456,-0.1,-0.18,-1.03
11477,-0.1,-0.18,-1.03
11498,-0.11,-0.18,-1.03
11519,-0.11,-0.19,-1.03
11540,-0.11,-0.19,-1.04
11561,-0.11,-0.18,-1.02
11582,-0.09,-0.18,-1.03
11603,-0.1,-0.18,-1.03
11624,-0.1,-0.19,-1.03
11645,-0.1,-0.18,-1.03
11666,-0.1,-0.18,-1.03
11687,-0.11,-0.18,-1.03
11708,-0.11,-0.18,-1.03
11729,-0.11,-0.19,-1.03
11750,-0.11,-0.18,-1.03
11771,-0.1,-0.19,-1.03
11792,-0.1,-0.19,-1.02
11813,-0.1,-0.18,-1.03
11834,-0.1,-0.18,-1.03
11855,-0.1,-0.17,-1.03
11876,-0.1,-0.18,-1.03
11897,-0.12,-0.17,-1.04
11918,-0.13,-0.18,-1.03
11939,-0.12,-0.18,-1.03
11960,-0.11,-0.19,-1.03
11981,-0.1,-0.19,-1.03
12002,-0.1,-0.2,-1.02
12023,-0.1,-0.21,-1.03
12044,-0.1,-0.19,-1.03
12065,-0.11,-0.19,-1.04
12086,-0.11,-0.18,-1.03
12107,-0.1,-0.18,-1.03
12128,-0.11,-0.18,-1.03
12149,-0.11,-0.17,-1.03
12170,-0.11,-0.18,-1.03
12191,-0.1,-0.18,-1.03
12212,-0.11,-0.19,-1.03
12233,-0.11,-0.19,-1.03
12254,-0.11,-0.19,-1.03
12275,-0.11,-0.19,-1.03
12296,-0.12,-0.18,-1.03
12317,-0.11,-0.18,-1.04
12338,-0.11,-0.18,-1.03
12359,-0.11,-0.18,-1.04
12380,-0.1,-0.18,-1.03
12401,-0.1,-0.18,-1.03
12422,-0.1,-0.18,-1.03
12443,-0.1,-0.19,-1.03
12464,-0.1,-0.19,-1.04
12485,-0.1,-0.19,-1.03
12506,-0.1,-0.19,-1.03
12527,-0.11,-0.18,-1.04
12548,-0.11,-0.18,-1.03
12569,-0.11,-0.18,-1.03
12590,-0.1,-0.18,-1.03
12611,-0.1,-0.18,-1.03
12632,-0.08,-0.18,-1.02
12653,-0.09,-0.17,-1.02
12674,-0.11,-0.17,-1.03
12695,-0.11,-0.17,-1.02
12716,-0.12,-0.17,-1.03
12737,-0.14,-0.18,-1.03
12758,-0.14,-0.18,-1.04
12779,-0.14,-0.18,-1.03
12800,-0.13,-0.19,-1.03
12821,-0.11,-0.19,-1.03
12842,-0.09,-0.19,-1.03
12863,-0.08,-0.18,-1.03
12884,-0.1,-0.17,-1.03
12905,-0.11,-0.18,-1.03
12926,-0.11,-0.18,-1.03
12947,-0.1,-0.17,-1.03
12968,-0.09,-0.17,-1.03
12989,-0.1,-0.18,-1.03
13010,-0.1,-0.18,-1.03
13031,-0.1,-0.18,-1.04
13052,-0.1,-0.19,-1.03
13073,-0.1,-0.19,-1.03
13094,-0.11,-0.19,-1.03
13115,-0.11,-0.19,-1.03
13136,-0.11,-0.19,-1.03
13157,-0.11,-0.19,-1.03
13178,-0.11,-0.18,-1.03
13199,-0.1,-0.18,-1.03
13220,-0.1,-0.19,-1.03
13241,-0.1,-0.18,-1.03
13262,-0.1,-0.18,-1.03
13283,-0.1,-0.18,-1.03
13304,-0.11,-0.18,-1.03
13325,-0.11,-0.18,-1.03
13346,-0.1,-0.18,-1.03
13367,-0.09,-0.18,-1.03
13388,-0.09,-0.18,-1.03
13409,-0.09,-0.18,-1.03
13430,-0.09,-0.18,-1.03
13451,-0.09,-0.18,-1.03
13472,-0.1,-0.18,-1.03
13493,-0.11,-0.18,-1.04
13514,-0.11,-0.18,-1.03
13535,-0.11,-0.18,-1.04
13556,-0.09,-0.19,-1.03
13577,-0.09,-0.18,-1.03
13598,-0.09,-0.18,-1.03
13619,-0.09,-0.18,-1.03
13640,-0.09,-0.18,-1.04
13661,-0.12,-0.18,-1.04
13682,-0.12,-0.18,-1.04
13703,-0.12,-0.18,-1.03
13724,-0.11,-0.18,-1.03
13745,-0.11,-0.19,-1.03
13766,-0.1,-0.19,-1.03
13787,-0.1,-0.19,-1.03
13808,-0.09,-0.19,-1.03
13829,-0.08,-0.17,-1.03
13850,-0.09,-0.17,-1.03
13871,-0.11,-0.17,-1.03
13892,-0.11,-0.18,-1.03
13913,-0.11,-0.18,-1.04
13934,-0.11,-0.19,-1.03
13955,-0.11,-0.19,-1.03
13976,-0.11,-0.19,-1.03
13997,-0.1,-0.19,-1.03
14018,-0.09,-0.18,-1.03
14039,-0.1,-0.18,-1.03
14060,-0.1,-0.18,-1.03
14081,-0.1,-0.17,-1.04
14102,-0.1,-0.18,-1.03
14123,-0.1,-0.18,-1.03
14144,-0.1,-0.17,-1.02
14165,-0.1,-0.18,-1.03
14186,-0.11,-0.18,-1.03
14207,-0.11,-0.17,-1.03
14228,-0.1,-0.18,-1.04
14249,-0.1,-0.18,-1.03
14270,-0.09,-0.18,-1.03
14291,-0.09,-0.19,-1.02
14312,-0.1,-0.19,-1.02
14333,-0.1,-0.2,-1.02
14354,-0.11,-0.2,-1.03
14375,-0.11,-0.2,-1.03
14396,-0.1,-0.19,-1.03
14417,-0.1,-0.17,-1.04
14438,-0.1,-0.16,-1.04
14459,-0.1,-0.16,-1.03
14480,-0.11,-0.17,-1.03
14501,-0.11,-0.18,-1.04
14522,-0.11,-0.18,-1.03
14543,-0.1,-0.21,-1.03
14564,-0.09,-0.2,-1.03
14585,-0.09,-0.19,-1.03
14606,-0.1,-0.18,-1.03
14627,-0.11,-0.18,-1.03
14648,-0.11,-0.17,-1.03
14669,-0.11,-0.17,-1.03
14690,-0.11,-0.18,-1.04
14711,-0.1,-0.19,-1.03
14732,-0.09,-0.19,-1.03
14753,-0.09,-0.19,-1.03
14774,-0.1,-0.18,-1.03
14795,-0.11,-0.18,-1.04
14816,-0.12,-0.18,-1.04
14837,-0.12,-0.18,-1.03
14858,-0.11,-0.18,-1.03
14879,-0.09,-0.19,-1.04
14900,-0.09,-0.18,-1.03
14921,-0.09,-0.18,-1.03
14942,-0.1,-0.17,-1.03
14963,-0.11,-0.17,-1.03
14984,-0.12,-0.18,-1.03
15005,-0.12,-0.18,-1.04
15026,-0.1,-0.18,-1.04
15047,-0.1,-0.19,-1.03
15068,-0.08,-0.18,-1.03
15089,-0.09,-0.18,-1.03
15110,-0.09,-0.18,-1.03
15131,-0.1,-0.18,-1.03
15152,-0.12,-0.19,-1.03
15173,-0.13,-0.2,-1.01
15194,-0.09,-0.19,-1.05
15215,-0.1,-0.16,-1.04
15236,-0.11,-0.18,-1.03
15257,-0.09,-0.19,-1.03
15278,-0.1,-0.16,-1.01
15299,-0.12,-0.21,-1.03
15320,-0.12,-0.18,-1.05
15341,-0.13,-0.2,-1.05
15362,-0.11,-0.19,-1.03
15383,-0.06,-0.17,-1.03
15404,-0.05,-0.16,-1.02
15425,-0.08,-0.16,-1.01
15446,-0.11,-0.17,-1.02
15467,-0.13,-0.19,-1.03
15488,-0.14,-0.19,-1.04
15509,-0.13,-0.2,-1.04
15530,-0.1,-0.19,-1.03
15551,-0.09,-0.17,-1.03
15572,-0.08,-0.17,-1.03
15593,-0.08,-0.17,-1.03
15614,-0.09,-0.17,-1.03
15635,-0.11,-0.18,-1.03
15656,-0.12,-0.19,-1.04
15677,-0.13,-0.19,-1.04
15698,-0.12,-0.19,-1.04
15719,-0.1,-0.18,-1.03
15740,-0.09,-0.18,-1.03
15761,-0.09,-0.18,-1.03
15782,-0.1,-0.18,-1.03
15803,-0.1,-0.18,-1.03
15824,-0.1,-0.18,-1.03
15845,-0.11,-0.18,-1.03
15866,-0.1,-0.18,-1.03
15887,-0.11,-0.18,-1.03
15908,-0.11,-0.18,-1.03
15929,-0.11,-0.18,-1.03
15950,-0.1,-0.18,-1.03
15971,-0.1,-0.19,-1.03
15992,-0.1,-0.18,-1.03
16013,-0.1,-0.19,-1.03
16034,-0.1,-0.18,-1.03
16055,-0.1,-0.18,-1.03
16076,-0.09,-0.18,-1.03
16097,-0.1,-0.18,-1.02
16118,-0.11,-0.19,-1.04
16139,-0.11,-0.18,-1.03
16160,-0.11,-0.18,-1.04
16181,-0.1,-0.18,-1.03
16202,-0.1,-0.18,-1.03
16223,-0.09,-0.18,-1.03
16244,-0.1,-0.18,-1.03
16265,-0.1,-0.18,-1.04
16286,-0.11,-0.19,-1.04
16307,-0.1,-0.19,-1.03
16328,-0.1,-0.18,-1.03
16349,-0.11,-0.18,-1.03
16370,-0.11,-0.18,-1.03
16391,-0.11,-0.18,-1.03
16412,-0.11,-0.18,-1.04
16433,-0.07,-0.2,-1.04
16454,-0.09,-0.18,-1.04
16475,-0.09,-0.18,-1.04
16496,-0.08,-0.18,-1.03
16517,-0.09,-0.18,-1.02
16538,-0.1,-0.18,-1.03
16559,-0.11,-0.18,-1.03
16580,-0.11,-0.18,-1.03
16601,-0.09,-0.18,-1.07
16622,-0.1,-0.18,-1.04
16643,-0.09,-0.18,-1.03
16664,-0.09,-0.18,-1.02
16685,-0.09,-0.19,-1.03
16706,-0.1,-0.18,-1.02
16727,-0.11,-0.18,-1.04
16748,-0.12,-0.19,-1.03
16769,-0.11,-0.19,-1.03
16790,-0.1,-0.18,-1.04
16811,-0.09,-0.18,-1.03
16832,-0.09,-0.17,-1.03
16853,-0.09,-0.18,-1.03
16874,-0.09,-0.18,-1.03
16895,-0.11,-0.18,-1.03
16916,-0.12,-0.18,-1.03
16937,-0.12,-0.18,-1.03
16958,-0.11,-0.18,-1.03
16979,-0.09,-0.18,-1.03
17000,-0.08,-0.18,-1.03
17021,-0.08,-0.18,-1.03
17042,-0.09,-0.18,-1.03
17063,-0.11,-0.18,-1.03
17084,-0.12,-0.18,-1.03
17105,-0.12,-0.18,-1.03
17126,-0.12,-0.19,-1.03
17147,-0.1,-0.18,-1.03
17168,-0.08,-0.18,-1.03
17189,-0.09,-0.18,-1.03
17210,-0.09,-0.17,-1.04
17231,-0.1,-0.18,-1.03
17252,-0.11,-0.18,-1.03
17273,-0.11,-0.18,-1.03
17294,-0.11,-0.18,-1.03
17315,-0.1,-0.18,-1.03
17336,-0.09,-0.18,-1.03
17357,-0.1,-0.18,-1.03
17378,-0.1,-0.18,-1.03
17399,-0.11,-0.19,-1.03
17420,-0.11,-0.18,-1.04
17441,-0.09,-0.19,-1.03
17462,-0.1,-0.18,-1.02
17483,-0.09,-0.18,-1.03
17504,-0.1,-0.18,-1.03
17525,-0.1,-0.18,-1.03
17546,-0.1,-0.17,-1.03
17567,-0.1,-0.18,-1.03
17588,-0.1,-0.18,-1.03
17609,-0.11,-0.18,-1.03
17630,-0.1,-0.17,-1.04
17651,-0.13,-0.19,-1.02
17672,-0.11,-0.18,-1.03
17693,-0.1,-0.18,-1.04
17714,-0.1,-0.18,-1.03
17735,-0.07,-0.18,-1.03
17756,-0.08,-0.18,-1.03
17777,-0.08,-0.19,-1.03
17798,-0.08,-0.18,-1.03
17819,-0.1,-0.19,-1.03
17840,-0.1,-0.17,-1.04
17861,-0.1,-0.18,-1.03
17882,-0.1,-0.17,-1.04
17903,-0.09,-0.18,-1.03
17924,-0.08,-0.19,-1.03
17945,-0.08,-0.18,-1.03
17966,-0.1,-0.19,-1.04
17987,-0.11,-0.19,-1.03
18008,-0.11,-0.18,-1.03
18029,-0.12,-0.18,-1.03
18050,-0.12,-0.18,-1.04
18071,-0.12,-0.18,-1.03
18092,-0.11,-0.18,-1.03
18113,-0.09,-0.18,-1.03
18134,-0.09,-0.19,-1.03
18155,-0.09,-0.18,-1.03
18176,-0.1,-0.18,-1.02
18197,-0.1,-0.18,-1.03
18218,-0.11,-0.18,-1.03
18239,-0.12,-0.18,-1.03
18260,-0.11,-0.18,-1.03
18281,-0.1,-0.18,-1.03
18302,-0.08,-0.18,-1.03
18323,-0.09,-0.17,-1.03
18344,-0.09,-0.18,-1.03
18365,-0.1,-0.18,-1.03
18386,-0.11,-0.19,-1.03
18407,-0.11,-0.19,-1.04
18428,-0.11,-0.18,-1.04
18449,-0.1,-0.18,-1.03
18470,-0.09,-0.18,-1.03
18491,-0.09,-0.18,-1.02
18512,-0.1,-0.18,-1.03
18533,-0.1,-0.18,-1.03
18554,-0.1,-0.18,-1.03
18575,-0.1,-0.18,-1.04
18596,-0.1,-0.18,-1.04
18617,-0.1,-0.18,-1.03
18638,-0.09,-0.18,-1.03
18659,-0.09,-0.19,-1.03
18680,-0.1,-0.18,-1.03
18701,-0.11,-0.18,-1.04
18722,-0.11,-0.18,-1.03
18743,-0.1,-0.18,-1.04
18764,-0.1,-0.18,-1.03
18785,-0.11,-0.18,-1.03
18806,-0.11,-0.18,-1.03
18827,-0.11,-0.18,-1.03
18848,-0.11,-0.17,-1.03
18869,-0.11,-0.17,-1.04
18890,-0.12,-0.17,-1.03
18911,-0.11,-0.18,-1.02
18932,-0.11,-0.18,-1.03
18953,-0.1,-0.19,-1.03
18974,-0.1,-0.19,-1.03
18995,-0.1,-0.18,-1.04
19016,-0.11,-0.18,-1.03
19037,-0.11,-0.18,-1.03
19058,-0.1,-0.18,-1.02
19079,-0.09,-0.19,-1.03
19100,-0.07,-0.17,-1.03
19121,-0.07,-0.17,-1.03
19142,-0.09,-0.18,-1.03
19163,-0.11,-0.18,-1.03
19184,-0.11,-0.18,-1.03
19205,-0.11,-0.18,-1.03
19226,-0.1,-0.18,-1.03
19247,-0.1,-0.19,-1.03
19268,-0.1,-0.2,-1.02
19289,-0.09,-0.2,-1.03
19310,-0.1,-0.19,-1.04
19331,-0.1,-0.18,-1.04
19352,-0.12,-0.17,-1.03
19373,-0.12,-0.16,-1.04
19394,-0.12,-0.17,-1.03
19415,-0.12,-0.19,-1.03
19436,-0.12,-0.19,-1.04
19457,-0.1,-0.2,-1.02
19478,-0.08,-0.19,-1.04
19499,-0.07,-0.18,-1.03
19520,-0.08,-0.18,-1.03
19541,-0.08,-0.18,-1.02
19562,-0.1,-0.18,-1.02
19583,-0.12,-0.18,-1.03
19604,-0.12,-0.17,-1.03
19625,-0.13,-0.17,-1.03
19646,-0.13,-0.17,-1.04
19667,-0.1,-0.18,-1.03
19688,-0.08,-0.18,-1.03
19709,-0.08,-0.19,-1.03
19730,-0.07,-0.19,-1.03
19751,-0.08,-0.19,-1.02
19772,-0.1,-0.19,-1.03
19793,-0.12,-0.18,-1.04
19814,-0.13,-0.17,-1.04
19835,-0.12,-0.17,-1.04
19856,-0.11,-0.18,-1.03
19877,-0.09,-0.18,-1.03
19898,-0.07,-0.19,-1.04
19919,-0.07,-0.19,-1.02
19940,-0.08,-0.18,-1.03
19961,-0.09,-0.18,-1.02
19982,-0.11,-0.18,-1.04
20003,-0.12,-0.18,-1.03
20024,-0.13,-0.17,-1.03
20045,-0.12,-0.17,-1.04
20066,-0.11,-0.18,-1.03
20087,-0.09,-0.19,-1.03
20108,-0.08,-0.2,-1.03
20129,-0.09,-0.18,-1.03
20150,-0.08,-0.19,-1.04
20171,-0.08,-0.18,-1.04
20192,-0.1,-0.17,-1.03
20213,-0.11,-0.17,-1.04
20234,-0.11,-0.17,-1.03
20255,-0.11,-0.18,-1.04
20276,-0.11,-0.18,-1.03
20297,-0.1,-0.17,-1.04
20318,-0.1,-0.16,-1.02
20339,-0.1,-0.17,-1.02
20360,-0.1,-0.17,-1.03
20381,-0.09,-0.17,-1.06
20402,-0.1,-0.21,-1.05
20423,-0.09,-0.2,-1.06
20444,-0.07,-0.16,-1.08
20465,-0.04,-0.19,-1.02
20486,-0.06,-0.24,-1.0
20507,-0.07,-0.24,-1.05
20528,-0.07,-0.16,-1.03
20549,-0.01,-0.15,-1.04
20570,0.02,-0.21,-1.08
20591,-0.07,-0.18,-1.06
20612,-0.03,-0.18,-1.07
20633,-0.03,-0.16,-1.04
20654,-0.02,-0.19,-1.02
20675,0.01,-0.2,-1.01
20696,0.07,-0.19,-1.04
20717,0.02,-0.17,-1.06
20738,0.04,-0.16,-1.03
20759,-0.03,-0.17,-1.02
20780,-0.1,-0.17,-1.06
20801,0.0,-0.15,-1.1
20822,0.02,-0.15,-1.04
20843,-0.01,-0.18,-1.01
20864,0.03,-0.16,-1.02
20885,0.03,-0.15,-1.05
20906,0.04,-0.16,-1.06
20927,0.02,-0.18,-1.06
20948,0.0,-0.21,-1.05
20969,0.06,-0.18,-1.04
20990,0.04,-0.18,-1.05
21011,0.03,-0.21,-1.03
21032,0.08,-0.25,-1.02
21053,0.11,-0.24,-1.02
21074,0.1,-0.24,-1.0
21095,0.07,-0.27,-0.99
21116,0.05,-0.29,-0.99
21137,0.05,-0.26,-1.0
21158,0.03,-0.26,-1.0
21179,0.04,-0.24,-1.02
21200,0.04,-0.2,-1.03
21221,0.03,-0.2,-1.03
21242,0.06,-0.21,-1.03
21263,0.08,-0.2,-1.03
21284,0.06,-0.19,-1.03
21305,0.03,-0.18,-1.04
21326,0.01,-0.18,-1.03
21347,-0.0,-0.18,-1.02
21368,0.01,-0.18,-1.01
21389,0.04,-0.18,-1.01
21410,0.03,-0.19,-1.0
21431,0.01,-0.19,-1.01
21452,0.01,-0.18,-1.01
21473,0.01,-0.2,-1.01
21494,0.04,-0.18,-1.01
21515,0.05,-0.18,-1.02
21536,0.02,-0.18,-1.03
21557,0.03,-0.17,-1.03
21578,0.02,-0.17,-1.04
21599,0.02,-0.17,-1.04
21620,0.02,-0.18,-1.05
21641,0.03,-0.18,-1.05
21662,0.02,-0.18,-1.06
21683,0.03,-0.15,-1.07
21704,-0.02,-0.15,-1.07
21725,-0.0,-0.14,-1.06
21746,-0.04,-0.14,-1.07
21767,-0.06,-0.16,-1.05
21788,-0.04,-0.16,-1.04
21809,0.02,-0.17,-1.03
21830,0.04,-0.18,-1.02
21851,0.02,-0.18,-1.01
21872,-0.01,-0.16,-1.01
21893,-0.02,-0.16,-1.02
21914,0.0,-0.15,-1.03
21935,-0.0,-0.14,-1.03
21956,-0.02,-0.13,-1.02
21977,-0.01,-0.14,-1.04
21998,-0.01,-0.14,-1.05
22019,-0.01,-0.13,-1.06
22040,-0.01,-0.14,-1.05
22061,-0.02,-0.14,-1.06
22082,-0.02,-0.13,-1.06
22103,-0.03,-0.14,-1.06
22124,-0.04,-0.14,-1.05
22145,-0.03,-0.15,-1.05
22166,-0.04,-0.16,-1.04
22187,-0.04,-0.14,-1.04
22208,-0.04,-0.14,-1.03
22229,-0.06,-0.15,-1.01
22250,-0.04,-0.15,-1.02
22271,-0.04,-0.16,-1.04
22292,-0.05,-0.17,-1.03
22313,-0.04,-0.16,-1.04
22334,-0.03,-0.16,-1.04
22355,-0.03,-0.15,-1.05
22376,-0.05,-0.14,-1.05
22397,-0.04,-0.14,-1.06
22418,-0.06,-0.13,-1.06
22439,-0.05,-0.14,-1.04
22460,-0.01,-0.15,-1.03
22481,-0.03,-0.15,-1.05
22502,-0.05,-0.13,-1.04
22523,-0.04,-0.16,-1.04
22544,-0.02,-0.15,-1.04
22565,-0.04,-0.16,-1.04
22586,-0.05,-0.16,-1.01
22607,-0.05,-0.15,-1.01
22628,-0.02,-0.15,-1.04
22649,-0.04,-0.15,-1.04
22670,-0.09,-0.11,-1.04
22691,-0.07,-0.15,-1.03
22712,-0.07,-0.17,-1.05
22733,-0.02,-0.16,-1.05
22754,-0.04,-0.17,-1.04
22775,-0.06,-0.16,-1.04
22796,-0.04,-0.17,-1.05
22817,-0.09,-0.18,-1.03
22838,-0.09,-0.16,-1.04
22859,-0.07,-0.14,-1.03
22880,-0.11,-0.19,-1.02
22901,0.02,-0.17,-1.02
22922,-0.13,-0.15,-1.02
22943,-0.1,-0.15,-1.02
22964,-0.07,-0.16,-1.02
22985,-0.1,-0.18,-1.01
23006,-0.08,-0.16,-0.99
23027,-0.11,-0.18,-1.04
23048,-0.03,-0.19,-1.04
23069,-0.1,-0.18,-1.03
23090,-0.08,-0.18,-1.04
23111,-0.09,-0.2,-1.04
23132,-0.1,-0.18,-1.04
23153,-0.11,-0.18,-1.04
23174,-0.13,-0.15,-1.04
23195,-0.07,-0.14,-1.04
23216,-0.05,-0.13,-1.07
23237,-0.12,-0.16,-1.03
23258,-0.09,-0.16,-1.03
23279,-0.04,-0.17,-1.02
23300,-0.06,-0.19,-1.02
23321,-0.05,-0.17,-1.03
23342,-0.04,-0.19,-1.03
23363,-0.04,-0.18,-1.04
23384,-0.06,-0.17,-1.05
23405,-0.07,-0.09,-1.08
23426,-0.15,-0.15,-1.01
23447,-0.07,-0.17,-1.04
23468,-0.1,-0.17,-1.06
23489,-0.03,-0.18,-1.03
23510,-0.09,-0.2,-1.02
23531,-0.07,-0.18,-1.02
23552,-0.04,-0.19,-1.01
23573,-0.04,-0.19,-1.02
23594,-0.05,-0.19,-1.02
23615,-0.08,-0.17,-1.03
23636,-0.07,-0.17,-1.03
23657,-0.06,-0.17,-1.04
23678,-0.05,-0.18,-1.04
23699,-0.05,-0.17,-1.04
23720,-0.06,-0.16,-1.04
23741,-0.06,-0.16,-1.04
23762,-0.06,-0.16,-1.03
23783,-0.06,-0.17,-1.03
23804,-0.06,-0.18,-1.03
23825,-0.07,-0.17,-1.02
23846,-0.07,-0.17,-1.02
23867,-0.06,-0.17,-1.03
23888,-0.07,-0.17,-1.03
23909,-0.06,-0.16,-1.02
23930,-0.04,-0.16,-1.03
23951,-0.03,-0.17,-1.04
23972,-0.04,-0.16,-1.05
23993,-0.03,-0.16,-1.05
24014,-0.03,-0.15,-1.06
24035,-0.04,-0.16,-1.06
24056,-0.02,-0.16,-1.05
24077,-0.03,-0.16,-1.05
24098,-0.04,-0.15,-1.05
24119,-0.03,-0.16,-1.04
24140,-0.02,-0.17,-1.04
24161,-0.02,-0.17,-1.03
24182,-0.03,-0.16,-1.05
24203,-0.02,-0.15,-1.04
24224,-0.01,-0.15,-1.04
24245,-0.01,-0.14,-1.05
24266,-0.03,-0.14,-1.05
24287,-0.03,-0.13,-1.05
24308,-0.04,-0.14,-1.04
24329,-0.03,-0.14,-1.02
24350,-0.03,-0.15,-1.03
24371,-0.02,-0.15,-1.03
